startedAt;valueprodshared;valueprodshared;valueprodshared
;df-prod-Gaby;df-prod-MarcNord;df-prod-Véronique
2025-04-05 15:15:00+00:00;0.643;0.003;0.262
2025-04-05 15:30:00+00:00;0.489;0.004;0.207
2025-04-05 15:45:00+00:00;0.502;0.005;0.197
2025-04-05 16:00:00+00:00;0.554;0.012;0.162
2025-04-05 16:15:00+00:00;0.396;0.02;0.0
2025-04-05 16:30:00+00:00;0.0;0.028;0.268
2025-04-05 16:45:00+00:00;0.712;0.02;0.076
2025-04-05 17:00:00+00:00;1.008;0.024;0.0
2025-04-05 17:15:00+00:00;0.0;0.02;0.0
2025-04-05 17:30:00+00:00;0.0;0.02;0.0
2025-04-05 17:45:00+00:00;0.0;0.028;0.0
2025-04-05 18:00:00+00:00;0.0;0.028;0.0
2025-04-05 18:15:00+00:00;0.0;0.012;0.0
2025-04-05 18:30:00+00:00;0.0;0.016;0.0
2025-04-05 18:45:00+00:00;0.0;0.016;0.0
2025-04-05 19:00:00+00:00;0.0;0.0;0.0
2025-04-05 19:15:00+00:00;0.0;0.0;0.0
2025-04-05 19:30:00+00:00;0.0;0.0;0.0
2025-04-05 19:45:00+00:00;0.0;0.0;0.0
2025-04-05 20:00:00+00:00;0.0;0.0;0.0
2025-04-05 20:15:00+00:00;0.0;0.0;0.0
2025-04-05 20:30:00+00:00;0.0;0.0;0.0
2025-04-05 20:45:00+00:00;0.0;0.0;0.0
