startedAt;valueprodauto;valueprodauto
;df-prod-Gaby;df-prod-Véronique
2025-04-06 06:15:00+00:00;0.136;1.672
2025-04-06 06:30:00+00:00;0.16;2.568
2025-04-06 06:45:00+00:00;0.284;2.536
2025-04-06 07:00:00+00:00;0.472;2.696
2025-04-06 07:15:00+00:00;0.816;2.46
2025-04-06 07:30:00+00:00;1.436;5.472
2025-04-06 07:45:00+00:00;1.484;0.292
2025-04-06 08:00:00+00:00;0.74;0.248
2025-04-06 08:15:00+00:00;0.692;0.26
2025-04-06 08:30:00+00:00;0.788;0.3
2025-04-06 08:45:00+00:00;1.868;0.288
2025-04-06 09:00:00+00:00;0.596;0.264
2025-04-06 09:15:00+00:00;0.652;6.132
2025-04-06 09:30:00+00:00;0.672;1.488
2025-04-06 09:45:00+00:00;0.48;0.324
2025-04-06 10:00:00+00:00;0.672;0.436
2025-04-06 10:15:00+00:00;0.584;0.252
2025-04-06 10:30:00+00:00;0.532;0.256
2025-04-06 10:45:00+00:00;0.96;2.156
2025-04-06 11:00:00+00:00;0.804;5.948
2025-04-06 11:15:00+00:00;0.58;5.296
2025-04-06 11:30:00+00:00;0.564;5.332
2025-04-06 11:45:00+00:00;0.38;5.356
2025-04-06 12:00:00+00:00;0.412;5.404
2025-04-06 12:15:00+00:00;0.628;5.412
2025-04-06 12:30:00+00:00;0.64;5.34
2025-04-06 12:45:00+00:00;0.688;5.344
2025-04-06 13:00:00+00:00;0.368;5.384
2025-04-06 13:15:00+00:00;0.368;5.36
2025-04-06 13:30:00+00:00;0.544;5.312
2025-04-06 13:45:00+00:00;0.436;5.316
2025-04-06 14:00:00+00:00;0.58;4.912
2025-04-06 14:15:00+00:00;0.644;4.448
2025-04-06 14:30:00+00:00;0.776;4.008
2025-04-06 14:45:00+00:00;0.6;3.472
2025-04-06 15:00:00+00:00;0.756;2.64
2025-04-06 15:15:00+00:00;0.648;2.056
2025-04-06 15:30:00+00:00;0.692;1.236
2025-04-06 15:45:00+00:00;0.848;0.792
2025-04-06 16:00:00+00:00;0.828;0.48
2025-04-06 16:15:00+00:00;0.548;0.364
2025-04-06 16:30:00+00:00;0.624;0.32
2025-04-06 16:45:00+00:00;0.728;0.284
2025-04-06 17:00:00+00:00;0.848;0.244
2025-04-06 17:15:00+00:00;0.836;0.2
